@relation 'WEKA_AST_TREES' 

@attribute 'AnnotationDeclaration' integer
@attribute 'AnnotationMemberDeclaration' integer
@attribute 'ArrayAccessExpr' integer
@attribute 'ArrayCreationExpr' integer
@attribute 'ArrayCreationLevel' integer
@attribute 'ArrayInitializerExpr' integer
@attribute 'ArrayType' integer
@attribute 'AssertStmt' integer
@attribute 'AssignExpr' integer
@attribute 'BinaryExpr' integer
@attribute 'BlockComment' integer
@attribute 'BlockStmt' integer
@attribute 'BooleanLiteralExpr' integer
@attribute 'BreakStmt' integer
@attribute 'CastExpr' integer
@attribute 'CatchClause' integer
@attribute 'CharLiteralExpr' integer
@attribute 'ClassExpr' integer
@attribute 'ClassOrInterfaceDeclaration' integer
@attribute 'ClassOrInterfaceType' integer
@attribute 'CompilationUnit' integer
@attribute 'ConditionalExpr' integer
@attribute 'ConstructorDeclaration' integer
@attribute 'ContinueStmt' integer
@attribute 'DoStmt' integer
@attribute 'DoubleLiteralExpr' integer
@attribute 'EnclosedExpr' integer
@attribute 'EnumConstantDeclaration' integer
@attribute 'EnumDeclaration' integer
@attribute 'ExplicitConstructorInvocationStmt' integer
@attribute 'ExpressionStmt' integer
@attribute 'FieldAccessExpr' integer
@attribute 'FieldDeclaration' integer
@attribute 'ForeachStmt' integer
@attribute 'ForStmt' integer
@attribute 'IfStmt' integer
@attribute 'ImportDeclaration' integer
@attribute 'InitializerDeclaration' integer
@attribute 'InstanceOfExpr' integer
@attribute 'IntegerLiteralExpr' integer
@attribute 'IntersectionType' integer
@attribute 'JavadocComment' integer
@attribute 'LabeledStmt' integer
@attribute 'LambdaExpr' integer
@attribute 'LineComment' integer
@attribute 'LocalClassDeclarationStmt' integer
@attribute 'LongLiteralExpr' integer
@attribute 'MarkerAnnotationExpr' integer
@attribute 'MemberValuePair' integer
@attribute 'MethodCallExpr' integer
@attribute 'MethodDeclaration' integer
@attribute 'MethodReferenceExpr' integer
@attribute 'Name' integer
@attribute 'NameExpr' integer
@attribute 'NodeList' integer
@attribute 'NormalAnnotationExpr' integer
@attribute 'NullLiteralExpr' integer
@attribute 'ObjectCreationExpr' integer
@attribute 'PackageDeclaration' integer
@attribute 'Parameter' integer
@attribute 'PrimitiveType' integer
@attribute 'ReturnStmt' integer
@attribute 'SimpleName' integer
@attribute 'SingleMemberAnnotationExpr' integer
@attribute 'StringLiteralExpr' integer
@attribute 'SuperExpr' integer
@attribute 'SwitchEntryStmt' integer
@attribute 'SwitchStmt' integer
@attribute 'SynchronizedStmt' integer
@attribute 'ThisExpr' integer
@attribute 'ThrowStmt' integer
@attribute 'TryStmt' integer
@attribute 'TypeExpr' integer
@attribute 'TypeParameter' integer
@attribute 'UnaryExpr' integer
@attribute 'UnionType' integer
@attribute 'UnknownType' integer
@attribute 'VariableDeclarationExpr' integer
@attribute 'VariableDeclarator' integer
@attribute 'VoidType' integer
@attribute 'WhileStmt' integer
@attribute 'WildcardType' integer
@attribute 'classification' integer
@attribute 'ID' integer

@data 

0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 2, 0, 11, 6, 0, 0, 0, 0, 1, 1, 0, 1, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 6, 0, 0, 1, 0, 0, 1, 1, 11, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 11, 2, 0, 0, 0, 0, 5, 0, 0, 4, 0, 1, 0, 0, 1, 0, 0, 1, 0, 22, 5, 0, 20, 11, 0, 0, 0, 2, 1, 2, 0, 2, 57, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 1, 0, 4, 12, 1, 11, 2, 0, 2, 1, 0, 1, 1, 18, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 30, 2, 0, 0, 0, 0, 5, 0, 0, 14, 0, 3, 0, 0, 0, 0, 0, 0, 0, 71, 8, 0, 19, 49, 0, 0, 1, 2, 1, 4, 4, 4, 163, 0, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 9, 9, 5, 0, 0, 0, 2
0, 0, 0, 0, 0, 0, 1, 0, 5, 1, 1, 8, 0, 0, 0, 0, 0, 1, 1, 25, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 20, 4, 0, 0, 0, 0, 8, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0, 19, 7, 0, 29, 24, 0, 0, 0, 6, 1, 2, 0, 4, 89, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 3, 0, 0, 0, 3
0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 6, 0, 0, 1, 0, 0, 1, 1, 12, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 8, 2, 0, 0, 0, 0, 5, 0, 0, 3, 0, 2, 0, 0, 3, 0, 0, 0, 0, 14, 5, 0, 19, 10, 0, 0, 0, 2, 1, 2, 0, 2, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 4
0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 1, 12, 0, 0, 0, 2, 0, 1, 1, 16, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 17, 2, 0, 0, 0, 0, 5, 0, 0, 3, 0, 9, 0, 0, 0, 0, 0, 0, 0, 20, 7, 0, 19, 23, 0, 0, 1, 4, 1, 7, 3, 3, 80, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 3, 4, 0, 0, 0, 5
0, 0, 0, 0, 0, 0, 1, 0, 3, 6, 1, 12, 0, 0, 0, 2, 0, 1, 1, 16, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 20, 2, 0, 0, 0, 0, 5, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 25, 7, 0, 19, 24, 0, 0, 1, 4, 1, 5, 1, 3, 84, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 3, 4, 0, 0, 0, 6
0, 0, 0, 8, 8, 8, 3, 0, 6, 7, 1, 18, 4, 0, 1, 4, 0, 1, 1, 48, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 36, 4, 0, 0, 0, 0, 8, 0, 0, 7, 0, 8, 0, 0, 0, 0, 0, 0, 0, 47, 9, 0, 28, 48, 0, 0, 4, 18, 1, 9, 1, 3, 173, 0, 12, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 6, 6, 6, 0, 0, 0, 7
0, 0, 0, 1, 1, 1, 1, 0, 2, 0, 1, 6, 0, 0, 0, 0, 0, 1, 1, 11, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 11, 2, 1, 0, 0, 0, 5, 0, 0, 2, 0, 4, 0, 0, 1, 0, 0, 0, 0, 16, 5, 0, 19, 14, 0, 0, 0, 2, 1, 2, 2, 2, 55, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 0, 0, 0, 8
